PREC,PREC_match,county,precinct,PRES20D,PRES20L,PRES20R
"COBB, RIVERSIDE 01","COBB, RIVERSIDE 01",Cobb,Riverside 01,997,14,119
"COBB, ROCKY MOUNT 01","COBB, ROCKY MOUNT 01",Cobb,Rocky Mount 01,1234,46,1441
"COBB, ROSWELL 01","COBB, ROSWELL 01",Cobb,Roswell 01,2141,61,2387
"COBB, ROSWELL 02","COBB, ROSWELL 02",Cobb,Roswell 02,1518,54,1545
"COBB, SANDY PLAINS 01","COBB, SANDY PLAINS 01",Cobb,Sandy Plains 01,1192,53,1117
"COBB, SEWELL MILL 01","COBB, SEWELL MILL 01",Cobb,Sewell Mill 01,1481,36,1334
"COBB, SEWELL MILL 03","COBB, SEWELL MILL 03",Cobb,Sewell Mill 03,1859,58,1249
"COBB, SHALLOWFORD FALLS 01","COBB, SHALLOWFORD FALLS 01",Cobb,Shallowford Falls 01,1294,55,1487
"COBB, SIMPSON 01","COBB, SIMPSON 01",Cobb,Simpson 01,756,22,738
"COBB, SMYRNA 1A","COBB, SMYRNA 1A",Cobb,Smyrna 1A,1931,37,554
"COBB, SMYRNA 2A","COBB, SMYRNA 2A",Cobb,Smyrna 2A,2791,67,849
"COBB, SMYRNA 3A","COBB, SMYRNA 3A",Cobb,Smyrna 3A,2208,63,925
"COBB, SMYRNA 3B","COBB, SMYRNA 3A",Cobb,Smyrna 3B,1166,38,750
"COBB, SMYRNA 4A","COBB, SMYRNA 4A",Cobb,Smyrna 4A,2815,93,1853
"COBB, SMYRNA 5A","COBB, SMYRNA 5A",Cobb,Smyrna 5A,2006,56,811
"COBB, SMYRNA 6A","COBB, SMYRNA 6A",Cobb,Smyrna 6A,2808,95,1706
"COBB, SMYRNA 7A","COBB, SMYRNA 7A",Cobb,Smyrna 7A,3785,73,1367
"COBB, SOPE CREEK 01","COBB, SOPE CREEK 01",Cobb,Sope Creek 01,835,37,970
"COBB, SOPE CREEK 02","COBB, SOPE CREEK 02",Cobb,Sope Creek 02,1963,68,1632
"COBB, SOPE CREEK 03","COBB, SOPE CREEK 03",Cobb,Sope Creek 03,1089,21,1213
"COBB, SWEETWATER 01","COBB, SWEETWATER 01",Cobb,Sweetwater 01,1439,40,867
"COBB, SWEETWATER 02","COBB, SWEETWATER 02",Cobb,Sweetwater 02,1517,28,444
"COBB, TERRELL MILL 01","COBB, TERRELL MILL 01",Cobb,Terrell Mill 01,2477,62,1030
"COBB, TIMBER RIDGE 01","COBB, TIMBER RIDGE 01",Cobb,Timber Ridge 01,1016,34,1025
"COBB, VAUGHAN 01","COBB, VAUGHAN 01",Cobb,Vaughan 01,877,59,1630
"COBB, VININGS 01","COBB, VININGS 01",Cobb,Vinings 01,1598,40,700
"COBB, VININGS 02","COBB, VININGS 02",Cobb,Vinings 02,2962,74,1441
"COBB, VININGS 03","COBB, VININGS 03",Cobb,Vinings 03,2236,32,1002
"COBB, VININGS 04","COBB, VININGS 04",Cobb,Vinings 04,1350,29,1296
"COBB, WADE GREEN 02","COBB, WADE GREEN 02",Cobb,Wade Green 02,1859,70,1605
"COBB, WILLEO 01","COBB, WILLEO 01",Cobb,Willeo 01,1079,45,1270
"COFFEE, AMBROSE","COFFEE, AMBROSE",Coffee,Ambrose,264,6,1104
"COFFEE, BRIDGETOWN","COFFEE, BRIDGETOWN",Coffee,Bridgetown,60,3,190
"COFFEE, BROXTON","COFFEE, BROXTON",Coffee,Broxton,378,11,1200
"COFFEE, DOUGLAS","COFFEE, DOUGLAS",Coffee,Douglas,3485,91,6510
"COFFEE, NICHOLLS","COFFEE, NICHOLLS",Coffee,Nicholls,288,10,963
"COFFEE, WEST GREEN","COFFEE, WEST GREEN",Coffee,West Green,36,4,611
"COLQUITT, AUTREYVILLE","COLQUITT, AUTREYVILLE",Colquitt,Autreyville,202,8,746
"COLQUITT, BRIDGECREEK","COLQUITT, BRIDGECREEK",Colquitt,Bridgecreek,99,2,795
"COLQUITT, CROSLAND","COLQUITT, CROSLAND",Colquitt,Crosland,51,0,137
"COLQUITT, DOERUN","COLQUITT, DOERUN",Colquitt,Doerun,140,3,294
"COLQUITT, FUNSTON","COLQUITT, FUNSTON",Colquitt,Funston,107,10,613
"COLQUITT, HAMILTON","COLQUITT, HAMILTON",Colquitt,Hamilton,55,4,512
"COLQUITT, HARTSFIELD","COLQUITT, HARTSFIELD",Colquitt,Hartsfield,27,2,291
"COLQUITT, HOPEWELL","COLQUITT, HOPEWELL",Colquitt,Hopewell,187,14,971
"COLQUITT, LEE","COLQUITT, LEE",Colquitt,Lee,108,3,558
"COLQUITT, MILLCREEK","COLQUITT, MILLCREEK",Colquitt,Millcreek,27,2,281
"COLQUITT, MONK","COLQUITT, MONK",Colquitt,Monk,170,6,888
"COLQUITT, MOULTRIE","COLQUITT, MOULTRIE",Colquitt,Moultrie,1169,28,1799
"COLQUITT, MURPHY","COLQUITT, MURPHY",Colquitt,Murphy,96,6,676
"COLQUITT, NORMAN PARK","COLQUITT, NORMAN PARK",Colquitt,Norman Park,372,15,1226
"COLQUITT, ROBINSON","COLQUITT, ROBINSON",Colquitt,Robinson,93,3,480
"COLQUITT, SHAW","COLQUITT, SHAW",Colquitt,Shaw,1152,9,429
"COLQUITT, THIGPEN","COLQUITT, THIGPEN",Colquitt,Thigpen,17,0,159
"COLQUITT, TYTY","COLQUITT, TYTY",Colquitt,Tyty,31,3,328
"COLQUITT, WARRIOR","COLQUITT, WARRIOR",Colquitt,Warrior,84,1,594
"COLUMBIA, ABILENE BAPTIST","COLUMBIA, ABILENE BAPTIST",Columbia,Abilene Baptist,464,17,963
"COLUMBIA, AUGUSTA CHRISTIAN","COLUMBIA, AUGUSTA CHRISTIAN",Columbia,Augusta Christian,605,24,1003
"COLUMBIA, BELAIR BAPTIST CHURCH","COLUMBIA, BELAIR BAPTIST",Columbia,Belair Baptist Church,677,36,1109
"COLUMBIA, BESSIE THOMAS CENTER","COLUMBIA, BESSIE THOMAS CENTER",Columbia,Bessie Thomas Center,88,10,531
"COLUMBIA, BLANCHARD PARK","COLUMBIA, BLANCHARD PARK",Columbia,Blanchard Park,596,19,796
"COLUMBIA, BLUE RIDGE ELEMENTARY","COLUMBIA, BLUE RIDGE ELEMENTARY",Columbia,Blue Ridge Elementary,618,31,1018
"COLUMBIA, CHRIST CHURCH PRESBYTERIAN","COLUMBIA, CHRIST CHURCH",Columbia,Christ Church Presbyterian,499,28,1138
"COLUMBIA, CHRIST SANCTIFIED","COLUMBIA, CHRIST SANCTIFIED",Columbia,Christ Sanctified,570,31,1268
"COLUMBIA, CHRIST THE KING LUTH CHURCH","COLUMBIA, CHRIST THE KING LUTH CH",Columbia,Christ The King Luth Church,565,15,1186
"COLUMBIA, CHURCH OF OUR SAVIOR","COLUMBIA, CHURCH OF OUR SAVIOR",Columbia,Church of Our Savior,649,25,984
"COLUMBIA, COL CTY BD OF EDU","COLUMBIA, COL CTY BD OF EDU",Columbia,Col Cty Bd of Edu,570,16,1068
"COLUMBIA, COL CTY MAIN LIBRARY","COLUMBIA, COL CTY MAIN LIBRARY",Columbia,Col Cty Main Library,559,14,1003
"COLUMBIA, DAMASCUS BAPTIST CHURCH","COLUMBIA, DAMASCUS BAPTIST CHURCH",Columbia,Damascus Baptist Church,99,5,720
"COLUMBIA, EUBANK-BLANCHARD CENTER","COLUMBIA, EUBANK/BLANCHARD CENTER",Columbia,Eubank-Blanchard Center,277,11,947
"COLUMBIA, G A APOSTOLIC CHURCH","COLUMBIA, G A APOSTOLIC CHURCH",Columbia,G A Apostolic Church,471,21,737
"COLUMBIA, GENESIS CHURCH","COLUMBIA, GENESIS CHURCH",Columbia,Genesis Church,478,22,937
"COLUMBIA, GOLD CROSS EMS","COLUMBIA, GOLD CROSS EMS",Columbia,Gold Cross EMS,378,19,1007
"COLUMBIA, GOSPEL WATER BRANCH","COLUMBIA, GOSPEL WATER BRANCH",Columbia,Gospel Water Branch,654,18,1012
"COLUMBIA, GRACE BAPTIST CHURCH","COLUMBIA, GRACE BAPTIST CHURCH",Columbia,Grace Baptist Church,1171,50,1526
"COLUMBIA, GREENBRIER HIGH","COLUMBIA, GREENBRIER HIGH",Columbia,Greenbrier High,793,46,1871
"COLUMBIA, GROVE FIRST BAPTIST CHURCH","COLUMBIA, WARREN BAPTIST",Columbia,Grove First Baptist Church,1163,35,782
"COLUMBIA, GROVETOWN METHODIST CHURCH","COLUMBIA, GROVETOWN METHODIST CHURCH",Columbia,Grovetown Methodist Church,1051,28,607
"COLUMBIA, GROVETOWN PUBLIC SAFETY STATION 2","COLUMBIA, GROVETOWN MIDDLE SCHOOL",Columbia,Grovetown Public Safety Station 2,1423,63,1021
"COLUMBIA, HARLEM BRANCH LIBRARY","COLUMBIA, HARLEM BRANCH",Columbia,Harlem Branch Library,460,28,1405
"COLUMBIA, HARLEM SENIOR CENTER",,Columbia,Harlem Senior Center,540,24,827
"COLUMBIA, JOURNEY COMM CHURCH","COLUMBIA, JOURNEY COMM. CHURCH",Columbia,Journey Comm Church,238,15,808
"COLUMBIA, KIOKEE BAPTIST CHURCH","COLUMBIA, KIOKEE BAPTIST CHURCH",Columbia,Kiokee Baptist Church,295,23,1782
"COLUMBIA, LAKESIDE MIDDLE","COLUMBIA, LAKESIDE MIDDLE",Columbia,Lakeside Middle,512,35,825
"COLUMBIA, LEWIS METHODIST CHURCH","COLUMBIA, LEWIS METHODIST CHURCH",Columbia,Lewis Methodist Church,1116,57,1721
"COLUMBIA, LIBERTY PARK-GROVETOWN","COLUMBIA, LIBERTY PARK",Columbia,Liberty Park-Grovetown,1149,39,1064
"COLUMBIA, MARTINEZ BAPTIST","COLUMBIA, MARTINEZ BAPTIST",Columbia,Martinez Baptist,528,28,767
"COLUMBIA, MARVIN METHODIST","COLUMBIA, MARVIN METHODIST CHURCH",Columbia,Marvin Methodist,532,27,832
"COLUMBIA, MTZ COL FIRE HDQTR","COLUMBIA, MTZ COL FIRE HDQTR",Columbia,Mtz Col Fire Hdqtr,321,19,507
"COLUMBIA, NEW LIFE CHURCH","COLUMBIA, NEW LIFE CHURCH",Columbia,New Life Church,1692,85,1433
"COLUMBIA, PARKWAY BAPTIST CHURCH","COLUMBIA, REDEEMER CHURCH",Columbia,Parkway Baptist Church,1269,60,2324
"COLUMBIA, PATRIOTS PARK","COLUMBIA, PATRIOTS PARK",Columbia,Patriots Park,1148,71,1834
"COLUMBIA, PHILADELPHIA CHURCH","COLUMBIA, PHILADELPHIA CHURCH",Columbia,Philadelphia Church,739,55,935
"COLUMBIA, RIVERVIEW CHURCH","COLUMBIA, RIVERSIDE ELEMENTARY",Columbia,Riverview Church,378,17,683
"COLUMBIA, SAVANNAH RAPIDS PAVILION","COLUMBIA, STEVENS CREEK ELEM",Columbia,Savannah Rapids Pavilion,380,12,998
"COLUMBIA, SECOND MT CARMEL BAPTIST CHURCH","COLUMBIA, SECOND MT. CARMEL",Columbia,Second Mt Carmel Baptist Church,284,4,268
"COLUMBIA, SECOND MT MORIAH BAPTIST CHURCH",,Columbia,Second Mt Moriah Baptist Church,159,17,623
"COLUMBIA, STEVENS CREEK CHURCH","COLUMBIA, STEVENS CREEK CHURCH",Columbia,Stevens Creek Church,736,25,1543
"COLUMBIA, TRINITY BAPTIST CHURCH","COLUMBIA, TRINITY BAPT CHURCH",Columbia,Trinity Baptist Church,573,28,1483
"COLUMBIA, WESLEY METHODIST","COLUMBIA, WESLEY METHODIST",Columbia,Wesley Methodist,578,29,1304
"COLUMBIA, WEST ACRES BAPTIST","COLUMBIA, WEST ACRES BAPTIST",Columbia,West Acres Baptist,570,20,1232
"COLUMBIA, WESTSIDE BAPTIST CHURCH","COLUMBIA, WESTSIDE BAPT CHURCH",Columbia,Westside Baptist Church,346,17,855
"COLUMBIA, WOODLAWN BAPTIST CHURCH","COLUMBIA, WOODLAWN BAPTIST CHURCH",Columbia,Woodlawn Baptist Church,275,11,726
"COOK, CECIL","COOK, CECIL",Cook,Cecil,514,15,637
"COOK, DELLE BEAMGUARD","COOK, DELLE BEAMGUARD",Cook,Delle Beamguard,404,19,1249
"COOK, ELM PINE","COOK, ELM PINE",Cook,Elm Pine,260,5,17
"COOK, LENOX","COOK, LENOX",Cook,Lenox,180,8,702
"COOK, MASSEE","COOK, MASSEE",Cook,Massee,119,5,521
"COOK, NEW LIFE BAPTIST CHURCH","COOK, NEW LIFE BAPT. CHURCH",Cook,New Life Baptist Church,113,11,761
"COOK, RIVERBEND","COOK, RIVERBEND",Cook,Riverbend,127,7,799
"COOK, SPARKS","COOK, SPARKS",Cook,Sparks,342,6,214
"COWETA, CANNONGATE","COWETA, CANNONGATE",Coweta,Cannongate,689,58,2188
"COWETA, CEDAR CREEK","COWETA, CEDAR CREEK",Coweta,Cedar Creek,1025,51,3258
"COWETA, CENTRAL","COWETA, CENTRAL",Coweta,Central,1559,44,868
"COWETA, COWETA CENTRAL LIBRARY","COWETA, COWETA CENTRAL LIBRARY",Coweta,Coweta Central Library,327,17,1038
"COWETA, DRESDEN","COWETA, DRESDEN",Coweta,Dresden,119,8,513
"COWETA, EXPO CENTER","COWETA, EXPO CENTER",Coweta,Expo Center,478,26,1028
"COWETA, FISCHER ROAD","COWETA, FISCHER ROAD",Coweta,Fischer Road,951,46,2423
"COWETA, GRANTVILLE","COWETA, GRANTVILLE",Coweta,Grantville,524,25,1219
"COWETA, GREENTOP","COWETA, GREENTOP",Coweta,Greentop,795,29,1227
"COWETA, HARALSON","COWETA, HARALSON",Coweta,Haralson,322,26,1465
"COWETA, MADRAS","COWETA, MADRAS",Coweta,Madras,1225,53,2282
"COWETA, MORELAND","COWETA, MORELAND",Coweta,Moreland,420,21,1768
"COWETA, NEWNAN","COWETA, NEWNAN",Coweta,Newnan,1317,25,846
"COWETA, NEWNAN CENTRE",,Coweta,Newnan Centre,6428,227,8479
"COWETA, NORTHSIDE","COWETA, NORTHSIDE",Coweta,Northside,602,34,1119
"COWETA, PANTHER CREEK","COWETA, PANTHER CREEK",Coweta,Panther Creek,516,25,1644
"COWETA, PINE ROAD","COWETA, PINE ROAD",Coweta,Pine Road,263,16,1276
"COWETA, RAYMOND","COWETA, RAYMOND",Coweta,Raymond,394,15,1524
"COWETA, SENOIA","COWETA, SENOIA",Coweta,Senoia,1183,62,3423
"COWETA, SHARPSBURG","COWETA, SHARPSBURG",Coweta,Sharpsburg,713,52,2795
"COWETA, SMOKEY ROAD","COWETA, SMOKEY ROAD",Coweta,Smokey Road,769,20,949
"COWETA, THOMAS CROSSROADS","COWETA, THOMAS CROSSROADS",Coweta,Thomas Crossroads,904,49,2945
"COWETA, TURIN","COWETA, TURIN",Coweta,Turin,764,50,2807
"COWETA, WELCOME","COWETA, WELCOME",Coweta,Welcome,494,32,1849
"COWETA, WESTSIDE","COWETA, WESTSIDE",Coweta,Westside,343,7,189
"COWETA, WHITE OAK","COWETA, WHITE OAK",Coweta,White Oak,1086,70,2379
"CRAWFORD, DISTRICT 1A","CRAWFORD, 1A",Crawford,District 1A,138,2,190
"CRAWFORD, DISTRICT 1B","CRAWFORD, 1B",Crawford,District 1B,411,3,308
"CRAWFORD, DISTRICT 2","CRAWFORD, 2",Crawford,District 2,535,14,691
"CRAWFORD, DISTRICT 3","CRAWFORD, 3",Crawford,District 3,184,16,1043
"CRAWFORD, DISTRICT 4","CRAWFORD, 4",Crawford,District 4,161,11,1125
"CRAWFORD, DISTRICT 5","CRAWFORD, 5",Crawford,District 5,186,13,1071
"CRISP, ARABI","CRISP, ARABI",Crisp,Arabi,112,1,459
"CRISP, CONEY","CRISP, CONEY",Crisp,Coney,88,3,624
"CRISP, CORDELE","CRISP, CORDELE",Crisp,Cordele,2649,56,2488
"CRISP, JAMESTOWN","CRISP, JAMESTOWN",Crisp,Jamestown,108,3,832
"CRISP, LISTONIA","CRISP, LISTONIA",Crisp,Listonia,29,3,584
"DADE, DAVIS","DADE, DAVIS",Dade,Davis,108,15,1216
"DADE, NEW HOME","DADE, NEW HOME",Dade,New Home,60,6,414
"DADE, NEW SALEM","DADE, NEW SALEM",Dade,New Salem,198,11,729
"DADE, NORTH DADE","DADE, NORTH DADE",Dade,North Dade,283,18,946
"DADE, SOUTH DADE","DADE, SOUTH DADE",Dade,South Dade,121,8,533
"DADE, TRENTON","DADE, TRENTON",Dade,Trenton,300,29,1599
"DADE, WEST BROW","DADE, WEST BROW",Dade,West Brow,191,20,629
"DAWSON, CENTRAL","DAWSON, CENTRAL",Dawson,Central,849,80,6203
"DAWSON, EAST","DAWSON, EAST",Dawson,East,1133,93,5561
"DAWSON, WEST","DAWSON, WEST",Dawson,West,504,24,1634
"DECATUR, ATTAPULGUS","DECATUR, ATTAPULGUS",Decatur,Attapulgus,795,9,462
"DECATUR, BAINBRIDGE-COLISEUM","DECATUR, BAINBRIDGE-COLISEUM",Decatur,Bainbridge-Coliseum,1601,37,2345
"DECATUR, BDGE-FAIRGROUNDS","DECATUR, BRIDGE-FAIRGROUNDS",Decatur,BDGE-Fairgrounds,1099,20,1009
"DECATUR, BRINSON","DECATUR, BRINSON",Decatur,Brinson,122,5,492
"DECATUR, CLIMAX","DECATUR, CLIMAX",Decatur,Climax,200,5,558
"DECATUR, KENDRICK","DECATUR, KENDRICK",Decatur,Kendrick,98,0,315
"DECATUR, MT PLEASANT","DECATUR, MT PLEASANT",Decatur,Mt Pleasant,55,1,392
"DECATUR, RECOVERY","DECATUR, RECOVERY",Decatur,Recovery,115,1,388
"DECATUR, WEST BAINBRIDGE","DECATUR, WEST BAINBRIDGE",Decatur,West Bainbridge,695,11,797
"DEKALB, ALLGOOD ELEM","DEKALB, ALLGOOD ELEM",DeKalb,Allgood Elem,1718,12,201
"DEKALB, ASHFORD DUNWOODY RD","DEKALB, ASHFORD DUNWOODY RD",DeKalb,Ashford Dunwoody Rd,1469,37,987
"DEKALB, ASHFORD PARK ELEM","DEKALB, ASHFORD PARK ELEM",DeKalb,Ashford Park Elem,1075,39,890
"DEKALB, ASHFORD PARKSIDE","DEKALB, ASHFORD PARKSIDE",DeKalb,Ashford Parkside,1715,33,1048
"DEKALB, AUSTIN","DEKALB, AUSTIN",DeKalb,Austin,1077,31,1104
"DEKALB, AUSTIN DRIVE","DEKALB, AUSTIN DRIVE",DeKalb,Austin Drive,1280,21,97
"DEKALB, AVONDALE","DEKALB, AVONDALE",DeKalb,Avondale,1970,41,538
"DEKALB, AVONDALE HIGH","DEKALB, AVONDALE HIGH",DeKalb,Avondale High,2197,37,278
"DEKALB, BETHUNE MIDDLE","DEKALB, BETHUNE MIDDLE",DeKalb,Bethune Middle,2698,17,138
"DEKALB, BOULDERCREST ROAD","DEKALB, BOULDERCREST RD",DeKalb,Bouldercrest Road,1289,8,57
"DEKALB, BOULEVARD","DEKALB, BOULEVARD",DeKalb,Boulevard,3341,44,256
"DEKALB, BRIAR VISTA ELEM","DEKALB, BRIAR VISTA ELEM",DeKalb,Briar Vista Elem,1784,33,447
"DEKALB, BRIARCLIFF","DEKALB, BRIARCLIFF",DeKalb,Briarcliff,1573,30,745
"DEKALB, BRIARLAKE ELEM","DEKALB, BRIARLAKE ELEM",DeKalb,Briarlake Elem,994,24,476
"DEKALB, BRIARWOOD","DEKALB, BRIARWOOD",DeKalb,Briarwood,1160,30,615
"DEKALB, BROCKETT","DEKALB, BROCKETT",DeKalb,Brockett,1361,30,565
"DEKALB, BROCKETT ELEM","DEKALB, BROCKETT ELEM",DeKalb,Brockett Elem,1387,28,549
"DEKALB, BROOKHAVEN","DEKALB, BROOKHAVEN",DeKalb,Brookhaven,1631,50,1112
"DEKALB, BROWNS MILL ELEM","DEKALB, BROWNS MILL ELEM",DeKalb,Browns Mill Elem,2660,17,107
"DEKALB, BURGESS ELEM","DEKALB, BURGESS ELEM",DeKalb,Burgess Elem,2432,24,180
"DEKALB, CANBY LANE ELEM","DEKALB, CANBY LANE ELEM",DeKalb,Canby Lane Elem,1191,14,64
"DEKALB, CANDLER","DEKALB, CANDLER",DeKalb,Candler,1845,21,136
"DEKALB, CANDLER PARK",,DeKalb,Candler Park,3123,39,300
"DEKALB, CANDLER-MURPHEY CANDLER ELEM","DEKALB, CANDLER-MURPHEY CANDLER ELEM",DeKalb,Candler-Murphey Candler Elem,2320,17,181
"DEKALB, CEDAR GROVE ELEM","DEKALB, CEDAR GROVE ELEM",DeKalb,Cedar Grove Elem,2532,34,96
"DEKALB, CEDAR GROVE MIDDLE","DEKALB, CEDAR GROVE MIDDLE",DeKalb,Cedar Grove Middle,884,5,51
"DEKALB, CEDAR GROVE SOUTH","DEKALB, CEDAR GROVE SOUTH",DeKalb,Cedar Grove South,2586,29,105
"DEKALB, CHAMBLEE","DEKALB, CHAMBLEE",DeKalb,Chamblee,1124,33,495
"DEKALB, CHAMBLEE 2","DEKALB, CHAMBLEE 2",DeKalb,Chamblee 2,1652,37,831
"DEKALB, CHAPEL HILL ELEM","DEKALB, CHAPEL HILL ELEM",DeKalb,Chapel Hill Elem,2161,20,79
"DEKALB, CHESNUT ELEM","DEKALB, CHESNUT ELEM",DeKalb,Chesnut Elem,1262,16,420
"DEKALB, CLAIREMONT EAST","DEKALB, CLAIREMONT EAST",DeKalb,Clairemont East,2370,36,332
"DEKALB, CLAIREMONT WEST","DEKALB, CLAIREMONT WEST",DeKalb,Clairemont West,2404,28,363
"DEKALB, CLAIRMONT ROAD","DEKALB, CLAIRMONT ROAD",DeKalb,Clairmont Road,1918,20,455
"DEKALB, CLARKSTON","DEKALB, CLARKSTON",DeKalb,Clarkston,1750,25,195
"DEKALB, CLARKSTON COMMUNITY CENTER",,DeKalb,Clarkston Community Center,1202,15,213
"DEKALB, CLIFTON","DEKALB, CLIFTON",DeKalb,Clifton,1000,7,48
"DEKALB, COAN RECREATION CENTER","DEKALB, COAN RECREATION CENTER",DeKalb,Coan Recreation Center,2680,47,236
"DEKALB, COLUMBIA DRIVE","DEKALB, COLUMBIA DRIVE",DeKalb,Columbia Drive,1280,10,61
"DEKALB, COLUMBIA ELEM","DEKALB, COLUMBIA ELEM",DeKalb,Columbia Elem,730,7,28
"DEKALB, COLUMBIA MIDDLE","DEKALB, COLUMBIA MIDDLE",DeKalb,Columbia Middle,1102,5,57
"DEKALB, CORALWOOD","DEKALB, CORALWOOD",DeKalb,Coralwood,1961,39,699
"DEKALB, COVINGTON","DEKALB, COVINGTON",DeKalb,Covington,1157,25,143
"DEKALB, COVINGTON HWY","DEKALB, COVINGTON HIGHWAY",DeKalb,Covington Hwy,220,4,12
"DEKALB, CROSS KEYS HIGH","DEKALB, CROSS KEYS HIGH",DeKalb,Cross Keys High,1107,41,479
"DEKALB, CROSSROADS","DEKALB, CROSSROADS",DeKalb,Crossroads,1738,17,91
"DEKALB, DECATUR",,DeKalb,Decatur,1480,12,137
"DEKALB, DORAVILLE NORTH","DEKALB, DORAVILLE NORTH",DeKalb,Doraville North,1398,25,473
"DEKALB, DORAVILLE SOUTH","DEKALB, DORAVILLE SOUTH",DeKalb,Doraville South,589,12,240
"DEKALB, DRESDEN ELEM","DEKALB, DRESDEN ELEM",DeKalb,Dresden Elem,2466,50,866
"DEKALB, DRUID HILLS HIGH","DEKALB, DRUID HILLS HIGH",DeKalb,Druid Hills High,1431,18,285
"DEKALB, DUNAIRE ELEM","DEKALB, DUNAIRE ELEM",DeKalb,Dunaire Elem,1215,11,178
"DEKALB, DUNWOODY","DEKALB, DUNWOODY",DeKalb,Dunwoody,1497,31,705
"DEKALB, DUNWOODY 2","DEKALB, DUNWOODY 2",DeKalb,Dunwoody 2,936,27,794
"DEKALB, DUNWOODY LIBRARY","DEKALB, DUNWOODY LIBRARY",DeKalb,Dunwoody Library,1129,26,1071
"DEKALB, EAST LAKE","DEKALB, EAST LAKE",DeKalb,East Lake,2679,54,260
"DEKALB, EMBRY HILLS","DEKALB, EMBRY HILLS",DeKalb,Embry Hills,917,26,434
"DEKALB, EMORY ROAD","DEKALB, EMORY ROAD",DeKalb,Emory Road,1206,5,148
"DEKALB, EMORY SOUTH","DEKALB, EMORY SOUTH",DeKalb,Emory South,2031,42,436
"DEKALB, EVANSDALE ELEM","DEKALB, EVANSDALE ELEM",DeKalb,Evansdale Elem,1723,40,759
"DEKALB, FAIRINGTON ELEM","DEKALB, FAIRINGTON ELEM",DeKalb,Fairington Elem,2692,20,103
"DEKALB, FERNBANK ELEM","DEKALB, FERNBANK ELEM",DeKalb,Fernbank Elem,1523,26,340
"DEKALB, FLAKES MILL FIRE STATION","DEKALB, FLAKES MILL FIRE STATION",DeKalb,Flakes Mill Fire Station,1292,11,71
"DEKALB, FLAT ROCK ELEM","DEKALB, FLAT ROCK ELEM",DeKalb,Flat Rock Elem,2098,15,95
"DEKALB, FLAT SHOALS","DEKALB, FLAT SHOALS",DeKalb,Flat Shoals,1300,8,56
"DEKALB, FLAT SHOALS ELEM","DEKALB, FLAT SHOALS ELEM",DeKalb,Flat Shoals Elem,1276,9,45
"DEKALB, FLAT SHOALS LIBRARY","DEKALB, FLAT SHOALS LIBRARY",DeKalb,Flat Shoals Library,1391,16,55
"DEKALB, FLAT SHOALS PARKWAY","DEKALB, FLAT SHOALS PARKWAY",DeKalb,Flat Shoals Parkway,2283,20,77
"DEKALB, FREEDOM MIDDLE","DEKALB, FREEDOM MIDDLE",DeKalb,Freedom Middle,1683,13,193
"DEKALB, GEORGETOWN SQ","DEKALB, GEORGETOWN SQUARE",DeKalb,Georgetown Sq,1939,45,893
"DEKALB, GLENHAVEN","DEKALB, GLENHAVEN",DeKalb,Glenhaven,999,12,123
"DEKALB, GLENNWOOD","DEKALB, GLENWOOD",DeKalb,Glennwood,1764,28,227
"DEKALB, GLENWOOD ROAD","DEKALB, GLENWOOD ROAD",DeKalb,Glenwood Road,1122,14,101
"DEKALB, GRESHAM ROAD","DEKALB, GRESHAM ROAD",DeKalb,Gresham Road,2181,28,115
"DEKALB, HAMBRICK ELEM","DEKALB, HAMBRICK ELEM",DeKalb,Hambrick Elem,1947,22,374
"DEKALB, HARRIS-MARGARET HARRIS ED","DEKALB, HARRIS-MARGARET HARRIS ED",DeKalb,Harris-Margaret Harris ED,896,15,168
"DEKALB, HARRIS-NARVIE J HARRIS ELEM","DEKALB, HARRIS-NARVIE J. HARRIS ELEM",DeKalb,Harris-Narvie J Harris Elem,2537,26,91
"DEKALB, HAWTHORNE ELEM","DEKALB, HAWTHORNE ELEM",DeKalb,Hawthorne Elem,2034,40,624
"DEKALB, HENDERSON MILL","DEKALB, HENDERSON MILL",DeKalb,Henderson Mill,1671,41,687
"DEKALB, HUGH HOWELL","DEKALB, HUGH HOWELL",DeKalb,Hugh Howell,910,27,516
"DEKALB, HUNTLEY HILLS ELEM","DEKALB, HUNTLEY HILLS ELEM",DeKalb,Huntley Hills Elem,1819,49,595
"DEKALB, IDLEWOOD ELEM","DEKALB, IDLEWOOD ELEM",DeKalb,Idlewood Elem,1307,13,332
"DEKALB, INDIAN CREEK","DEKALB, INDIAN CREEK",DeKalb,Indian Creek,1005,21,215
"DEKALB, JOHNSON ESTATES","DEKALB, JOHNSON ESTATES",DeKalb,Johnson Estates,1122,22,269
"DEKALB, JOLLY ELEM","DEKALB, JOLLY ELEM",DeKalb,Jolly Elem,1753,22,427
"DEKALB, KELLEY CHAPEL ROAD","DEKALB, KELLEY CHAPEL ROAD",DeKalb,Kelley Chapel Road,897,5,41
"DEKALB, KELLEY LAKE ELEM","DEKALB, KELLEY LAKE ELEM",DeKalb,Kelley Lake Elem,1627,17,78
"DEKALB, KINGSLEY ELEM","DEKALB, KINGSLEY ELEM",DeKalb,Kingsley Elem,1043,26,1067
"DEKALB, KITTREDGE ELEM","DEKALB, KITTREDGE ELEM",DeKalb,Kittredge Elem,1079,32,734
